entrez	symbol
1	A1BG
2	A2M
16	AARS1
18	ABAT
19	ABCA1
25	ABL1
26	AOC1
27	ABL2
30	ACAA1
32	ACACB
34	ACADM
35	ACADS
36	ACADSB
38	ACAT1
40	ASIC2
41	ASIC1
43	ACHE
51	ACOX1
52	ACP1
54	ACP5
55	ACP3
58	ACTA1
71	ACTG1
87	ACTN1
90	ACVR1
91	ACVR1B
95	ACY1
100	ADA
107	ADCY1
124	ADH1A
125	ADH1B
126	ADH1C
127	ADH4
128	ADH5
131	ADH7
132	ADK
134	ADORA1
135	ADORA2A
136	ADORA2B
142	PARP1
146	ADRA1D
147	ADRA1B
148	ADRA1A
150	ADRA2A
152	ADRA2C
153	ADRB1
154	ADRB2
155	ADRB3
159	ADSS2
173	AFM
183	AGT
185	AGTR1
189	AGXT
190	NR0B1
191	AHCY
196	AHR
197	AHSG
207	AKT1
210	ALAD
211	ALAS1
212	ALAS2
213	ALB
216	ALDH1A1
217	ALDH2
218	ALDH3A1
219	ALDH1B1
220	ALDH1A3
221	ALDH3B1
223	ALDH9A1
224	ALDH3A2
226	ALDOA
231	AKR1B1
238	ALK
240	ALOX5
246	ALOX15
250	ALPP
251	ALPG
262	AMD1
275	AMT
276	AMY1A
279	AMY2A
280	AMY2B
283	ANG
290	ANPEP
291	SLC25A4
292	SLC25A5
293	SLC25A6
301	ANXA1
302	ANXA2
306	ANXA3
307	ANXA4
308	ANXA5
325	APCS
331	XIAP
332	BIRC5
333	APLP1
334	APLP2
335	APOA1
336	APOA2
345	APOC3
347	APOD
348	APOE
350	APOH
351	APP
353	APRT
354	KLK3
358	AQP1
367	AR
375	ARF1
383	ARG1
384	ARG2
388	RHOB
402	ARL2
433	ASGR2
435	ASL
438	ASMT
440	ASNS
443	ASPA
444	ASPH
445	ASS1
462	SERPINC1
466	ATF1
471	ATIC
472	ATM
475	ATOX1
476	ATP1A1
477	ATP1A2
478	ATP1A3
486	FXYD2
495	ATP4A
496	ATP4B
501	ALDH7A1
513	ATP5F1D
523	ATP6V1A
526	ATP6V1B2
528	ATP6V1C1
552	AVPR1A
553	AVPR1B
554	AVPR2
558	AXL
563	AZGP1
567	B2M
570	BAAT
586	BCAT1
587	BCAT2
590	BCHE
595	CCND1
596	BCL2
598	BCL2L1
610	HCN2
613	BCR
622	BDH1
623	BDKRB1
624	BDKRB2
627	BDNF
629	CFB
632	BGLAP
635	BHMT
640	BLK
