entrez	symbol
644	BLVRA
645	BLVRB
652	BMP4
657	BMPR1A
658	BMPR1B
659	BMPR2
660	BMX
673	BRAF
683	BST1
695	BTK
706	TSPO
708	C1QBP
710	SERPING1
712	C1QA
713	C1QB
714	C1QC
715	C1R
716	C1S
718	C3
720	C4A
721	C4B
722	C4BPA
725	C4BPB
727	C5
731	C8A
732	C8B
733	C8G
735	C9
759	CA1
760	CA2
761	CA3
762	CA4
763	CA5A
765	CA6
766	CA7
767	CA8
768	CA9
770	CA11
771	CA12
773	CACNA1A
774	CACNA1B
775	CACNA1C
776	CACNA1D
777	CACNA1E
778	CACNA1F
779	CACNA1S
780	DDR1
781	CACNA2D1
782	CACNB1
783	CACNB2
784	CACNB3
785	CACNB4
786	CACNG1
788	SLC25A20
790	CAD
794	CALB2
796	CALCA
797	CALCB
799	CALCR
801	CALM1
805	CALM2
811	CALR
815	CAMK2A
816	CAMK2B
817	CAMK2D
818	CAMK2G
819	CAMLG
821	CANX
828	CAPS
831	CAST
833	CARS1
834	CASP1
836	CASP3
844	CASQ1
845	CASQ2
846	CASR
847	CAT
866	SERPINA6
873	CBR1
875	CBS
883	KYAT1
886	CCKAR
887	CCKBR
909	CD1A
915	CD3D
916	CD3E
917	CD3G
919	CD247
920	CD4
930	CD19
931	MS4A1
933	CD22
941	CD80
942	CD86
943	TNFRSF8
945	CD33
949	SCARB1
952	CD38
960	CD44
974	CD79B
983	CDK1
1003	CDH5
1017	CDK2
1019	CDK4
1021	CDK6
1026	CDKN1A
1036	CDO1
1043	CD52
1066	CES1
1072	CFL1
1080	CFTR
1103	CHAT
1105	CHD1
1109	AKR1C4
1111	CHEK1
1118	CHIT1
1128	CHRM1
1129	CHRM2
1131	CHRM3
1132	CHRM4
1133	CHRM5
1134	CHRNA1
1135	CHRNA2
1136	CHRNA3
1137	CHRNA4
1138	CHRNA5
1139	CHRNA7
1140	CHRNB1
1141	CHRNB2
1142	CHRNB3
1143	CHRNB4
1144	CHRND
1145	CHRNE
1146	CHRNG
1147	CHUK
1152	CKB
1158	CKM
1160	CKMT2
1163	CKS1B
1181	CLCN2
1191	CLU
1192	CLIC1
1195	CLK1
1196	CLK2
1198	CLK3
1234	CCR5
1244	ABCC2
1259	CNGA1
1263	PLK3
1268	CNR1
1269	CNR2
1277	COL1A1
1278	COL1A2
1280	COL2A1
1281	COL3A1
1311	COMP
1312	COMT
1327	COX4I1
1329	COX5B
1339	COX6A2
1340	COX6B1
1345	COX6C
1346	COX7A1
1349	COX7B
1350	COX7C
1351	COX8A
1356	CP
1360	CPB1
1361	CPB2
1363	CPE
1369	CPN1
1370	CPN2
1373	CPS1
1374	CPT1A
1376	CPT2
1384	CRAT
1385	CREB1
1392	CRH
1404	HAPLN1
1429	CRYZ
1431	CS
1432	MAPK14
1436	CSF1R
1438	CSF2RA
1439	CSF2RB
1441	CSF3R
1445	CSK
1448	CSN3
1452	CSNK1A1
1457	CSNK2A1
1459	CSNK2A2
1462	VCAN
1463	NCAN
1468	SLC25A10
1476	CSTB
1491	CTH
1493	CTLA4
1497	CTNS
1499	CTNNB1
1503	CTPS1
1509	CTSD
1514	CTSL
1520	CTSS
1528	CYB5A
1536	CYBB
1544	CYP1A2
1545	CYP1B1
1555	CYP2B6
1557	CYP2C19
1558	CYP2C8
1559	CYP2C9
1565	CYP2D6
1571	CYP2E1
1576	CYP3A4
1579	CYP4A11
1583	CYP11A1
1584	CYP11B1
1585	CYP11B2
1586	CYP17A1
1588	CYP19A1
1589	CYP21A2
1592	CYP26A1
1594	CYP27B1
1595	CYP51A1
1604	CD55
1606	DGKA
1608	DGKG
1610	DAO
1612	DAPK1
1613	DAPK3
1615	DARS1
1621	DBH
1633	DCK
1634	DCN
1636	ACE
1644	DDC
1645	AKR1C1
1646	AKR1C2
1717	DHCR7
1719	DHFR
1723	DHODH
1727	CYB5R3
1728	NQO1
1737	DLAT
1738	DLD
1742	DLG4
1786	DNMT1
1787	TRDMT1
1800	DPEP1
1803	DPP4
1806	DPYD
1812	DRD1
1813	DRD2
1814	DRD3
1815	DRD4
1816	DRD5
1827	RCAN1
1832	DSP
1859	DYRK1A
1890	TYMP
1892	ECHS1
1901	S1PR1
1909	EDNRA
1910	EDNRB
1915	EEF1A1
1938	EEF2
1950	EGF
1956	EGFR
1962	EHHADH
1969	EPHA2
1973	EIF4A1
1991	ELANE
2011	MARK2
2023	ENO1
2028	ENPEP
2030	SLC29A1
2041	EPHA1
2042	EPHA3
2043	EPHA4
2044	EPHA5
2045	EPHA7
2046	EPHA8
2047	EPHB1
2048	EPHB2
2050	EPHB4
2051	EPHB6
2057	EPOR
2058	EPRS1
2064	ERBB2
2066	ERBB4
2081	ERN1
2098	ESD
2099	ESR1
2100	ESR2
2101	ESRRA
2103	ESRRB
2104	ESRRG
2147	F2
2149	F2R
2152	F3
2153	F5
2155	F7
2157	F8
2158	F9
2159	F10
2160	F11
2161	F12
2162	F13A1
2165	F13B
2166	FAAH
2169	FABP2
2172	FABP6
2180	ACSL1
2181	ACSL3
2182	ACSL4
2185	PTK2B
2193	FARSA
2194	FASN
2201	FBN2
2203	FBP1
2205	FCER1A
2206	MS4A2
2207	FCER1G
2209	FCGR1A
2210	FCGR1B
2212	FCGR2A
2213	FCGR2B
2214	FCGR3A
2215	FCGR3B
2224	FDPS
2230	FDX1
2232	FDXR
2235	FECH
2237	FEN1
2241	FER
2242	FES
2243	FGA
2244	FGB
2246	FGF1
2247	FGF2
2249	FGF4
2260	FGFR1
2261	FGFR3
2263	FGFR2
2264	FGFR4
2266	FGG
2268	FGR
2272	FHIT
2280	FKBP1A
2321	FLT1
2322	FLT3
2324	FLT4
2335	FN1
2346	FOLH1
2348	FOLR1
2350	FOLR2
2352	FOLR3
2353	FOS
2356	FPGS
2357	FPR1
2395	FXN
2444	FRK
2475	MTOR
2492	FSHR
2495	FTH1
2512	FTL
2520	GAST
2534	FYN
2539	G6PD
2548	GAA
2550	GABBR1
2554	GABRA1
2555	GABRA2
2556	GABRA3
2557	GABRA4
2558	GABRA5
2559	GABRA6
2560	GABRB1
2561	GABRB2
2562	GABRB3
2563	GABRD
2564	GABRE
2565	GABRG1
2566	GABRG2
2567	GABRG3
2568	GABRP
2569	GABRR1
2570	GABRR2
2571	GAD1
2572	GAD2
2580	GAK
2593	GAMT
2595	GANC
2597	GAPDH
2617	GARS1
2618	GART
2628	GATM
2629	GBA
2638	GC
2639	GCDH
2642	GCGR
2643	GCH1
2653	GCSH
2668	GDNF
2671	GFER
2677	GGCX
2678	GGT1
2683	B4GALT1
2690	GHR
2692	GHRHR
2693	GHSR
2697	GJA1
2717	GLA
2729	GCLC
2730	GCLM
2731	GLDC
2739	GLO1
2740	GLP1R
2741	GLRA1
2742	GLRA2
2743	GLRB
2744	GLS
2745	GLRX
2746	GLUD1
2747	GLUD2
2752	GLUL
2760	GM2A
2798	GNRHR
2805	GOT1
2806	GOT2
2811	GP1BA
2815	GP9
2819	GPD1
2821	GPI
2835	GPR12
2841	GPR18
2847	MCHR1
2852	GPER1
2859	GPR35
2862	MLNR
2864	FFAR1
2872	MKNK2
2875	GPT
2876	GPX1
2877	GPX2
2878	GPX3
2879	GPX4
2880	GPX5
2882	GPX7
2885	GRB2
2890	GRIA1
2891	GRIA2
2892	GRIA3
2893	GRIA4
2894	GRID1
2895	GRID2
2897	GRIK1
2898	GRIK2
2899	GRIK3
2900	GRIK4
2901	GRIK5
2902	GRIN1
2903	GRIN2A
2904	GRIN2B
2905	GRIN2C
2906	GRIN2D
2908	NR3C1
2911	GRM1
2914	GRM4
2915	GRM5
2917	GRM7
2918	GRM8
2923	PDIA3
2931	GSK3A
2932	GSK3B
2934	GSN
2936	GSR
2937	GSS
2938	GSTA1
2939	GSTA2
2940	GSTA3
2941	GSTA4
2944	GSTM1
2946	GSTM2
2947	GSTM3
2948	GSTM4
2949	GSTM5
2950	GSTP1
2954	GSTZ1
2977	GUCY1A2
2984	GUCY2C
3008	H1-4
3026	HABP2
3028	HSD17B10
3029	HAGH
3030	HADHA
3033	HADH
3034	HAL
3035	HARS1
3039	HBA1
3043	HBB
3053	SERPIND1
3055	HCK
3060	HCRT
3061	HCRTR1
3062	HCRTR2
3064	HTT
3065	HDAC1
3066	HDAC2
3067	HDC
3068	HDGF
3074	HEXB
3075	CFH
3082	HGF
3091	HIF1A
3094	HINT1
3105	HLA-A
3119	HLA-DQB1
3140	MR1
3141	HLCS
3156	HMGCR
3161	HMMR
3162	HMOX1
3163	HMOX2
3172	HNF4A
3174	HNF4G
3176	HNMT
3177	SLC29A2
3181	HNRNPA2B1
3187	HNRNPH1
3189	HNRNPH3
3191	HNRNPL
3206	HOXA10
3242	HPD
3248	HPGD
3249	HPN
3250	HPR
3251	HPRT1
3269	HRH1
3274	HRH2
3283	HSD3B1
3284	HSD3B2
3290	HSD11B1
3291	HSD11B2
3292	HSD17B1
3293	HSD17B3
3294	HSD17B2
3295	HSD17B4
3309	HSPA5
3312	HSPA8
3320	HSP90AA1
3329	HSPD1
3339	HSPG2
3350	HTR1A
3351	HTR1B
3352	HTR1D
3354	HTR1E
3355	HTR1F
3356	HTR2A
3357	HTR2B
3358	HTR2C
3359	HTR3A
3360	HTR4
3361	HTR5A
3362	HTR6
3363	HTR7
3375	IAPP
3376	IARS1
3383	ICAM1
3416	IDE
3417	IDH1
3418	IDH2
3419	IDH3A
3420	IDH3B
3421	IDH3G
3426	CFI
3454	IFNAR1
3455	IFNAR2
3458	IFNG
3459	IFNGR1
3460	IFNGR2
3480	IGF1R
3482	IGF2R
3483	IGFALS
3486	IGFBP3
3490	IGFBP7
3512	JCHAIN
3543	IGLL1
3551	IKBKB
3552	IL1A
3553	IL1B
3554	IL1R1
3557	IL1RN
3558	IL2
3559	IL2RA
3560	IL2RB
3561	IL2RG
3562	IL3
3563	IL3RA
3566	IL4R
3567	IL5
3568	IL5RA
3569	IL6
3570	IL6R
3577	CXCR1
3590	IL11RA
3593	IL12B
3600	IL15
3605	IL17A
3612	IMPA1
3613	IMPA2
3614	IMPDH1
3615	IMPDH2
3620	IDO1
3627	CXCL10
3630	INS
3643	INSR
3645	INSRR
3654	IRAK1
3674	ITGA2B
3676	ITGA4
3678	ITGA5
3683	ITGAL
3685	ITGAV
3688	ITGB1
3689	ITGB2
3690	ITGB3
3692	EIF6
3695	ITGB7
3697	ITIH1
3698	ITIH2
3699	ITIH3
3700	ITIH4
3702	ITK
3704	ITPA
3708	ITPR1
3712	IVD
3716	JAK1
3717	JAK2
3718	JAK3
3725	JUN
3728	JUP
3735	KARS1
3736	KCNA1
3737	KCNA2
3738	KCNA3
3739	KCNA4
3741	KCNA5
3742	KCNA6
3743	KCNA7
3744	KCNA10
3745	KCNB1
3746	KCNC1
3747	KCNC2
3748	KCNC3
3750	KCND1
3751	KCND2
3752	KCND3
3756	KCNH1
3757	KCNH2
3758	KCNJ1
3760	KCNJ3
3761	KCNJ4
3762	KCNJ5
3763	KCNJ6
3764	KCNJ8
3765	KCNJ9
3767	KCNJ11
3768	KCNJ12
3775	KCNK1
3776	KCNK2
3777	KCNK3
3778	KCNMA1
3779	KCNMB1
3780	KCNN1
3781	KCNN2
3782	KCNN3
3783	KCNN4
3784	KCNQ1
3785	KCNQ2
3786	KCNQ3
3791	KDR
3815	KIT
3816	KLK1
3818	KLKB1
3827	KNG1
3848	KRT1
3849	KRT2
3852	KRT5
3853	KRT6A
3855	KRT7
3856	KRT8
3857	KRT9
3858	KRT10
3859	KRT12
3861	KRT14
3868	KRT16
3897	L1CAM
3906	LALBA
3921	RPSA
3932	LCK
3933	LCN1
3938	LCT
3939	LDHA
3945	LDHB
3948	LDHC
3949	LDLR
3953	LEPR
3958	LGALS3
3973	LHCGR
3978	LIG1
3980	LIG3
3984	LIMK1
3985	LIMK2
3992	FADS1
3998	LMAN1
4023	LPL
4035	LRP1
4036	LRP2
4048	LTA4H
4049	LTA
4057	LTF
4058	LTK
4060	LUM
4067	LYN
4069	LYZ
4072	EPCAM
4074	M6PR
4128	MAOA
4129	MAOB
4130	MAP1A
4133	MAP2
4134	MAP4
4137	MAPT
4139	MARK1
4140	MARK3
4143	MAT1A
4144	MAT2A
4145	MATK
4151	MB
4157	MC1R
4158	MC2R
4170	MCL1
4190	MDH1
4191	MDH2
4193	MDM2
4199	ME1
4200	ME2
4214	MAP3K1
4215	MAP3K3
4216	MAP3K4
4233	MET
4255	MGMT
4256	MGP
4257	MGST1
4258	MGST2
4259	MGST3
4282	MIF
4293	MAP3K9
4294	MAP3K10
4296	MAP3K11
4306	NR3C2
4311	MME
4313	MMP2
4318	MMP9
4329	ALDH6A1
4350	MPG
4352	MPL
4353	MPO
4363	ABCC1
4486	MST1R
4489	MT1A
4502	MT2A
4504	MT3
4507	MTAP
4508	ATP6
4512	COX1
4513	COX2
4514	COX3
4520	MTF1
4522	MTHFD1
4524	MTHFR
4535	ND1
4536	ND2
4537	ND3
4538	ND4
4539	ND4L
4540	ND5
4541	ND6
4543	MTNR1A
4544	MTNR1B
4547	MTTP
4548	MTR
4552	MTRR
4593	MUSK
4594	MMUT
4609	MYC
4638	MYLK
4668	NAGA
4669	NAGLU
4677	NARS1
4694	NDUFA1
4695	NDUFA2
4696	NDUFA3
4697	NDUFA4
4698	NDUFA5
4700	NDUFA6
4701	NDUFA7
4702	NDUFA8
4704	NDUFA9
4705	NDUFA10
4706	NDUFAB1
4707	NDUFB1
4708	NDUFB2
4709	NDUFB3
4710	NDUFB4
4711	NDUFB5
4712	NDUFB6
4713	NDUFB7
4714	NDUFB8
4715	NDUFB9
4716	NDUFB10
4717	NDUFC1
4718	NDUFC2
4719	NDUFS1
4720	NDUFS2
4722	NDUFS3
4723	NDUFV1
4724	NDUFS4
4725	NDUFS5
4726	NDUFS6
4728	NDUFS8
4729	NDUFV2
4731	NDUFV3
4750	NEK1
4751	NEK2
4752	NEK3
4758	NEU1
4759	NEU2
4772	NFATC1
4790	NFKB1
4791	NFKB2
4792	NFKBIA
4803	NGF
4830	NME1
4835	NQO2
4837	NNMT
4842	NOS1
4843	NOS2
4846	NOS3
4852	NPY
4856	CCN3
4860	PNP
4879	NPPB
4881	NPR1
4882	NPR2
4883	NPR3
4887	NPY2R
4907	NT5E
4914	NTRK1
4915	NTRK2
4916	NTRK3
4921	DDR2
4924	NUCB1
4925	NUCB2
4942	OAT
4946	OAZ1
4947	OAZ2
4953	ODC1
4967	OGDH
4985	OPRD1
4986	OPRK1
4987	OPRL1
4988	OPRM1
5004	ORM1
5005	ORM2
5009	OTC
5019	OXCT1
5020	OXT
5021	OXTR
5025	P2RX4
5033	P4HA1
5034	P4HB
5037	PEBP1
5045	FURIN
5047	PAEP
5052	PRDX1
5053	PAH
5054	SERPINE1
5055	SERPINB2
5058	PAK1
5062	PAK2
5063	PAK3
5066	PAM
5091	PC
5095	PCCA
5096	PCCB
5111	PCNA
5122	PCSK1
5126	PCSK2
5127	CDK16
5128	CDK17
5130	PCYT1A
5133	PDCD1
5136	PDE1A
5139	PDE3A
5141	PDE4A
5142	PDE4B
5143	PDE4C
5144	PDE4D
5148	PDE6G
5149	PDE6H
5150	PDE7A
5153	PDE1B
5156	PDGFRA
5159	PDGFRB
5160	PDHA1
5161	PDHA2
5162	PDHB
5163	PDK1
5166	PDK4
5167	ENPP1
5170	PDPK1
5176	SERPINF1
5188	GATB
5196	PF4
5198	PFAS
5223	PGAM1
5226	PGD
5228	PGF
5230	PGK1
5241	PGR
5243	ABCB1
5260	PHKG1
5264	PHYH
5265	SERPINA1
5267	SERPINA4
5272	SERPINB9
5287	PIK3C2B
5288	PIK3C2G
5290	PIK3CA
5291	PIK3CB
5292	PIM1
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5296	PIK3R2
5298	PI4KB
5313	PKLR
5315	PKM
5319	PLA2G1B
5320	PLA2G2A
5321	PLA2G4A
5327	PLAT
5328	PLAU
5329	PLAUR
5337	PLD1
5338	PLD2
5340	PLG
5345	SERPINF2
5347	PLK1
5351	PLOD1
5352	PLOD2
5371	PML
5375	PMP2
5406	PNLIP
5422	POLA1
5423	POLB
5426	POLE
5427	POLE2
5443	POMC
5444	PON1
5447	POR
5465	PPARA
5467	PPARD
5468	PPARG
5471	PPAT
5473	PPBP
5478	PPIA
5479	PPIB
5480	PPIC
5515	PPP2CA
5516	PPP2CB
5535	PPP3R2
5538	PPT1
5553	PRG2
5562	PRKAA1
5564	PRKAB1
5565	PRKAB2
5566	PRKACA
5567	PRKACB
5578	PRKCA
5579	PRKCB
5580	PRKCD
5581	PRKCE
5582	PRKCG
5584	PRKCI
5585	PKN1
5586	PKN2
5587	PRKD1
5588	PRKCQ
5591	PRKDC
5593	PRKG2
5594	MAPK1
5595	MAPK3
5596	MAPK4
5598	MAPK7
5600	MAPK11
5601	MAPK9
5602	MAPK10
5603	MAPK13
5604	MAP2K1
5605	MAP2K2
5606	MAP2K3
5607	MAP2K5
5608	MAP2K6
5610	EIF2AK2
5618	PRLR
5621	PRNP
5624	PROC
5625	PRODH
5627	PROS1
5673	PSG5
5689	PSMB1
5690	PSMB2
5693	PSMB5
5696	PSMB8
5698	PSMB9
5699	PSMB10
5720	PSME1
5723	PSPH
5724	PTAFR
5729	PTGDR
5731	PTGER1
5732	PTGER2
5733	PTGER3
5734	PTGER4
5737	PTGFR
5739	PTGIR
5740	PTGIS
5742	PTGS1
5743	PTGS2
5745	PTH1R
5746	PTH2R
5747	PTK2
5753	PTK6
5770	PTPN1
5775	PTPN4
5791	PTPRE
5802	PTPRS
5831	PYCR1
5832	ALDH18A1
5834	PYGB
5836	PYGL
5837	PYGM
5860	QDPR
5871	MAP4K2
5879	RAC1
5894	RAF1
5902	RANBP1
5914	RARA
5915	RARB
5916	RARG
5918	RARRES1
5925	RB1
5947	RBP1
5950	RBP4
5959	RDH5
5970	RELA
5972	REN
5973	RENBP
5979	RET
6010	RHO
6017	RLBP1
6035	RNASE1
6037	RNASE3
6093	ROCK1
6095	RORA
6098	ROS1
6121	RPE65
6122	RPL3
6187	RPS2
6195	RPS6KA1
6197	RPS6KA3
6240	RRM1
6241	RRM2
6256	RXRA
6257	RXRB
6258	RXRG
6261	RYR1
6262	RYR2
6271	S100A1
6273	S100A2
6275	S100A4
6277	S100A6
6278	S100A7
6279	S100A8
6280	S100A9
6283	S100A12
6284	S100A13
6285	S100B
6286	S100P
6301	SARS1
6307	MSMO1
6317	SERPINB3
6323	SCN1A
6324	SCN1B
6326	SCN2A
6327	SCN2B
6328	SCN3A
6329	SCN4A
6330	SCN4B
6331	SCN5A
6335	SCN9A
6336	SCN10A
6337	SCNN1A
6338	SCNN1B
6339	SCNN1D
6340	SCNN1G
6341	SCO1
6344	SCTR
6347	CCL2
6355	CCL8
6383	SDC2
6387	CXCL12
6389	SDHA
6390	SDHB
6391	SDHC
6392	SDHD
6401	SELE
6403	SELP
6406	SEMG1
6414	SELENOP
6421	SFPQ
6424	SFRP4
6426	SRSF1
6446	SGK1
6462	SHBG
6470	SHMT1
6472	SHMT2
6476	SI
6505	SLC1A1
6506	SLC1A2
6507	SLC1A3
6509	SLC1A4
6510	SLC1A5
6511	SLC1A6
6512	SLC1A7
6513	SLC2A1
6514	SLC2A2
6519	SLC3A1
6524	SLC5A2
6528	SLC5A5
6529	SLC6A1
6530	SLC6A2
6531	SLC6A3
6532	SLC6A4
6534	SLC6A7
6535	SLC6A8
6536	SLC6A9
6541	SLC7A1
6542	SLC7A2
6545	SLC7A4
6546	SLC8A1
6548	SLC9A1
6557	SLC12A1
6558	SLC12A2
6559	SLC12A3
6560	SLC12A4
6561	SLC13A1
6564	SLC15A1
6565	SLC15A2
6566	SLC16A1
6567	SLC16A2
6570	SLC18A1
6571	SLC18A2
6579	SLCO1A2
6583	SLC22A4
6584	SLC22A5
6608	SMO
6609	SMPD1
6616	SNAP25
6622	SNCA
6646	SOAT1
6647	SOD1
6652	SORD
6678	SPARC
6711	SPTBN1
6713	SQLE
6714	SRC
6715	SRD5A1
6717	SRI
6718	AKR1D1
6720	SREBF1
6725	SRMS
6733	SRPK2
6750	SST
6751	SSTR1
6752	SSTR2
6754	SSTR4
6755	SSTR5
6777	STAT5B
6782	HSPA13
6783	SULT1E1
6785	ELOVL4
6787	NEK4
6788	STK3
6790	AURKA
6793	STK10
6795	AURKC
6820	SULT2B1
6822	SULT2A1
6833	ABCC8
6843	VAMP1
6844	VAMP2
6850	SYK
6866	TAC3
6869	TACR1
6897	TARS1
6898	TAT
6906	SERPINA7
6916	TBXAS1
6947	TCN1
7001	PRDX2
7006	TEC
7010	TEK
7015	TERT
7016	TESK1
7018	TF
7031	TFF1
7032	TFF2
7035	TFPI
7037	TFRC
7040	TGFB1
7046	TGFBR1
7048	TGFBR2
7052	TGM2
7054	TH
7056	THBD
7067	THRA
7068	THRB
7075	TIE1
7086	TKT
7097	TLR2
7099	TLR4
7123	CLEC3B
7124	TNF
7125	TNNC2
7130	TNFAIP6
7132	TNFRSF1A
7133	TNFRSF1B
7134	TNNC1
7150	TOP1
7153	TOP2A
7155	TOP2B
7157	TP53
7161	TP73
7166	TPH1
7167	TPI1
7172	TPMT
7173	TPO
7178	TPT1
7184	HSP90B1
7201	TRHR
7253	TSHR
7264	GFUS
7272	TTK
7276	TTR
7277	TUBA4A
7283	TUBG1
7284	TUFM
7294	TXK
7296	TXNRD1
7297	TYK2
7298	TYMS
7299	TYR
7301	TYRO3
7357	UGCG
7358	UGDH
7371	UCK2
7376	NR1H2
7402	UTRN
7407	VARS1
7412	VCAM1
7416	VDAC1
7421	VDR
7422	VEGFA
7423	VEGFB
7436	VLDLR
7442	TRPV1
7448	VTN
7450	VWF
7465	WEE1
7498	XDH
7525	YES1
7529	YWHAB
7535	ZAP70
7786	MAP3K12
7846	TUBA1A
7852	CXCR4
7915	ALDH5A1
7919	DDX39B
7923	HSD17B8
8001	GLRA3
8013	NR4A3
8029	CUBN
8175	SF3A2
8200	GDF5
8284	KDM5D
8288	EPX
8347	H2BC4
8399	PLA2G10
8408	ULK1
8424	BBOX1
8428	STK24
8491	MAP4K3
8503	PIK3R3
8513	LIPF
8527	DGKD
8536	CAMK1
8542	APOL1
8547	FCN3
8550	MAPKAPK5
8565	YARS1
8566	PDXK
8569	MKNK1
8570	KHSRP
8573	CASK
8576	STK16
8600	TNFSF11
8604	SLC25A12
8618	CADPS
8630	HSD17B6
8639	AOC3
8644	AKR1C3
8647	ABCB11
8654	PDE5A
8659	ALDH4A1
8678	BECN1
8685	MARCO
8702	B4GALT4
8703	B4GALT3
8704	B4GALT2
8711	TNK1
8732	RNGTT
8737	RIPK1
8767	RIPK2
8780	RIOK3
8801	SUCLG2
8802	SUCLG1
8803	SUCLA2
8814	CDKL1
8829	NRP1
8833	GMPS
8841	HDAC3
8843	HCAR3
8854	ALDH1A2
8856	NR1I2
8858	PROZ
8879	SGPL1
8884	SLC5A6
8899	PRPF4B
8904	CPNE1
8911	CACNA1I
8912	CACNA1H
8913	CACNA1G
8942	KYNU
8972	MGAM
8973	CHRNA6
8974	P4HA2
8985	PLOD3
8986	RPS6KA4
8989	TRPA1
8999	CDKL2
9002	F2RL3
9052	GPRC5A
9054	NFS1
9056	SLC7A7
9058	SLC13A2
9061	PAPSS1
9064	MAP3K6
9088	PKMYT1
9104	RGN
9113	LATS1
9120	SLC16A6
9121	SLC16A5
9122	SLC16A4
9123	SLC16A3
9131	AIFM1
9132	KCNQ4
9146	HGS
9149	DYRK1B
9152	SLC6A5
9175	MAP3K13
9177	HTR3B
9194	SLC16A7
9201	DCLK1
9212	AURKB
9221	NOLC1
9227	LRAT
9249	DHRS3
9254	CACNA2D2
9262	STK17B
9263	STK17A
9290	GPR55
9312	KCNB2
9332	CD163
9340	GLP2R
9344	TAOK2
9356	SLC22A6
9360	PPIG
9367	RAB9A
9376	SLC22A8
9377	COX5A
9378	NRXN1
9415	FADS2
9424	KCNK6
9429	ABCG2
9446	GSTO1
9448	MAP4K4
9453	GGPS1
9468	PCYT1B
9475	ROCK2
9479	MAPK8IP1
9517	SPTLC2
9563	H6PD
9568	GABBR2
9588	PRDX6
9607	CARTPT
9706	ULK2
9734	HDAC9
9748	SLK
9759	HDAC4
9791	PTDSS1
9817	KEAP1
9833	MELK
9836	LCMT2
9874	TLK1
9891	NUAK1
9900	SV2A
9943	OXSR1
9955	HS3ST3A1
9963	SLC23A1
9965	FGF19
9970	NR1I3
9971	NR1H4
9973	CCS
10013	HDAC6
10016	PDCD6
10019	SH2B3
10038	PARP2
10039	PARP3
10056	FARSB
10057	ABCC5
10060	ABCC9
10062	NR1H3
10105	PPIF
10114	HIPK3
10157	AASS
10165	SLC25A13
10166	SLC25A15
10188	TNK2
10203	CALCRL
10226	PLIN3
10242	KCNMB2
10243	GPHN
10247	RIDA
10249	GLYAT
10266	RAMP2
10267	RAMP1
10268	RAMP3
10280	SIGMAR1
10296	MAEA
10298	PAK4
10327	AKR1A1
10369	CACNG2
10381	TUBB3
10383	TUBB4B
10396	ATP8A1
10399	RACK1
10404	CPQ
10454	TAB1
10461	MERTK
10465	PPIH
10499	NCOA2
10518	CIB2
10519	CIB1
10536	P3H3
10544	PROCR
10553	HTATIP2
10558	SPTLC1
10560	SLC19A2
10572	SIVA1
10599	SLCO1B1
10606	PAICS
10645	CAMKK2
10667	FARS2
